           Num  Time(s)  PosAbs(mm)  Pos(mm)  Pos(%)  Load(kN)
0          1.0    0.005    -16.6375  -0.0023     0.0    0.0877
10        11.0    2.005    -16.5731   0.0620     0.0    0.1091
20        21.0    4.005    -16.5051   0.1301     0.0    0.1194
30        31.0    6.005    -16.4378   0.1974     0.0    0.1353
40        41.0    8.005    -16.3718   0.2634     0.0    0.1593
50        51.0   10.005    -16.3054   0.3298     0.0    0.1815
60        61.0   12.005    -16.2383   0.3969     0.0    0.2033
70        71.0   14.005    -16.1708   0.4644     0.0    0.2259
80        81.0   16.005    -16.1055   0.5297     0.0    0.2581
90        91.0   18.005    -16.0379   0.5973     0.0    0.2919
100      101.0   20.005    -15.9718   0.6634     0.0    0.3291
110      111.0   22.005    -15.9057   0.7295     0.0    0.3720
120      121.0   24.005    -15.8382   0.7970     0.0    0.4166
130      131.0   26.005    -15.7712   0.8640     0.0    0.4636
140      141.0   28.005    -15.7052   0.9299     0.0    0.5133
150      151.0   30.005    -15.6380   0.9972     0.0    0.5684
160      161.0   32.005    -15.5719   1.0633     0.0    0.6238
170      171.0   34.005    -15.5055   1.1297     0.0    0.6822
180      181.0   36.005    -15.4382   1.1970     0.0    0.7423
190      191.0   38.005    -15.3708   1.2644     0.0    0.8047
200      201.0   40.005    -15.3051   1.3301     0.0    0.8722
210      211.0   42.005    -15.2381   1.3971     0.0    0.9357
220      221.0   44.005    -15.1722   1.4629     0.0    1.0054
230      231.0   46.005    -15.1053   1.5299     0.0    1.0760
240      241.0   48.005    -15.0385   1.5967     0.0    1.1531
250      251.0   50.005    -14.9713   1.6639     0.0    1.2247
260      261.0   52.005    -14.9051   1.7301     0.0    1.3012
270      271.0   54.005    -14.8386   1.7966     0.0    1.3769
280      281.0   56.005    -14.7720   1.8632     0.0    1.4613
290      291.0   58.005    -14.7054   1.9298     0.0    1.5424
300      301.0   60.005    -14.6384   1.9968     0.0    1.6210
310      311.0   62.005    -14.5711   2.0640     0.0    1.7009
321      321.0   64.005    -14.4696   2.1656     0.0    1.8598
331      331.0   66.005    -14.3371   2.2981     0.0    2.0425
341      341.0   68.005    -14.2025   2.4327     0.0    2.2168
351      351.0   70.005    -14.0695   2.5657     0.0    2.3921
361      361.0   72.005    -13.9368   2.6984     0.0    2.5664
371      371.0   74.005    -13.8034   2.8318     0.0    2.7368
381      381.0   76.005    -13.6696   2.9656     0.0    2.9096
391      391.0   78.005    -13.5362   3.0990     0.0    3.0580
401      401.0   80.005    -13.4035   3.2317     0.0    3.1102
411      411.0   82.005    -13.2700   3.3652     0.0    3.2117
421      421.0   84.005    -13.1360   3.4992     0.0    3.2462
431      431.0   86.005    -13.0031   3.6321     0.0    3.2811
441      441.0   88.005    -12.8693   3.7659     0.0    3.3133
451      451.0   90.005    -12.7360   3.8992     0.0    3.3188
461      461.0   92.005    -12.6030   4.0322     0.0    3.3234
471      471.0   94.005    -12.4695   4.1657     0.0    3.3272
481      481.0   96.005    -12.3369   4.2983     0.0    3.3300
491      491.0   98.005    -12.2024   4.4328     0.0    3.3356
501      501.0  100.005    -12.0695   4.5657     0.0    3.3670
511      511.0  102.005    -11.9368   4.6984     0.0    3.3928
521      521.0  104.005    -11.8032   4.8320     0.0    3.4693
531      531.0  106.005    -11.6696   4.9656     0.0    3.5113
541      541.0  108.005    -11.5369   5.0983     0.0    3.5468
551      551.0  110.005    -11.4031   5.2321     0.0    3.5890
561      561.0  112.005    -11.2695   5.3657     0.0    3.6263
571      571.0  114.005    -11.1367   5.4985     0.0    3.6591
581      581.0  116.005    -11.0033   5.6319     0.0    3.6869
591      591.0  118.005    -10.8696   5.7656     0.0    3.7579
601      601.0  120.005    -10.7366   5.8985     0.0    3.8540
611      611.0  122.005    -10.6028   6.0324     0.0    3.9299
621      621.0  124.005    -10.4694   6.1658     0.0    3.9542
631      631.0  126.005    -10.3365   6.2987     0.0    3.9951
641      641.0  128.005    -10.2030   6.4321     0.0    4.1890
651      651.0  130.005    -10.0697   6.5654     0.0    4.4413
661      661.0  132.005     -9.9362   6.6990     0.0    4.6377
671      671.0  134.005     -9.8029   6.8323     0.0    4.8180
681      681.0  136.005     -9.6701   6.9651     0.0    4.9866
691      691.0  138.005     -9.5364   7.0988     0.0    5.1524
701      701.0  140.005     -9.4032   7.2320     0.0    5.3247
711      711.0  142.005     -9.2696   7.3656     0.0    5.4982
721      721.0  144.005     -9.1365   7.4987     0.0    5.6420
731      731.0  146.005     -9.0031   7.6321     0.0    5.7966
741      741.0  148.005     -8.8700   7.7652     0.0    5.9888
751      751.0  150.005     -8.7365   7.8987     0.0    6.1569
761      761.0  152.005     -8.6033   8.0318     0.0    6.3236
771      771.0  154.005     -8.4692   8.1660     0.0    6.5015
781      781.0  156.005     -8.3368   8.2984     0.0    6.7042
791      791.0  158.005     -8.2030   8.4322     0.0    6.9154
801      801.0  160.005     -8.0695   8.5656     0.0    7.1322
811      811.0  162.005     -7.9367   8.6984     0.0    7.3536
821      821.0  164.005     -7.8034   8.8318     0.0    7.5794
831      831.0  166.005     -7.6700   8.9651     0.0    7.8683
841      841.0  168.005     -7.5369   9.0983     0.0    8.1376
851      851.0  170.005     -7.4032   9.2320     0.0    8.4096
861      861.0  172.005     -7.2696   9.3656     0.0    8.6837
871      871.0  174.005     -7.1367   9.4985     0.0    8.9706
881      881.0  176.005     -7.0032   9.6320     0.0    9.2659
891      891.0  178.005     -6.8700   9.7651     0.0    9.5633
901      901.0  180.005     -6.7364   9.8987     0.0    9.8471
911      911.0  182.005     -6.6029  10.0322     0.0   10.2072
921      921.0  184.005     -6.4695  10.1657     0.0   10.5709
931      931.0  186.005     -6.3368  10.2984     0.0   10.9399
941      941.0  188.005     -6.2034  10.4318     0.0   11.3276
951      951.0  190.005     -6.0700  10.5652     0.0   11.7212
961      961.0  192.005     -5.9367  10.6985     0.0   12.1371
971      971.0  194.005     -5.8032  10.8319     0.0   12.5712
981      981.0  196.005     -5.6702  10.9650     0.0   13.0266
991      991.0  198.005     -5.5369  11.0982     0.0   13.4954
1001    1001.0  200.005     -5.4037  11.2315     0.0   13.9916
1011    1011.0  202.005     -5.2701  11.3651     0.0   14.5067
1021    1021.0  203.879     -5.1455  11.4897     0.0   15.0019
1037    1031.0  204.305     -5.1682  11.4669     0.0   14.4732
1047    1041.0  204.705     -5.1684  11.4668     0.0   14.3496
1057    1051.0  205.105     -5.1686  11.4666     0.0   14.2552
1067    1061.0  205.505     -5.1681  11.4670     0.0   14.1706
1077    1071.0  205.905     -5.1682  11.4670     0.0   14.0959
1087    1081.0  206.305     -5.1679  11.4672     0.0   14.0272
1097    1091.0  206.705     -5.1683  11.4668     0.0   13.9597
1107    1101.0  207.105     -5.1682  11.4670     0.0   13.9042
1117    1111.0  207.505     -5.1683  11.4669     0.0   13.8486
1127    1121.0  207.905     -5.1684  11.4668     0.0   13.8028
1137    1131.0  208.305     -5.1680  11.4671     0.0   13.7591
1147    1141.0  208.705     -5.1683  11.4669     0.0   13.7169
1157    1151.0  209.105     -5.1680  11.4672     0.0   13.6790
1167    1161.0  209.505     -5.1685  11.4667     0.0   13.6425
1177    1171.0  209.905     -5.1683  11.4669     0.0   13.6053
1187    1181.0  210.305     -5.1682  11.4670     0.0   13.5746
1197    1191.0  210.705     -5.1686  11.4666     0.0   13.5393
1207    1201.0  211.105     -5.1684  11.4668     0.0   13.5088
