         Num  Time(s)  PosAbs(mm)  Pos(mm)  Pos(%)  Load(kN)
0        1.0    0.005    -15.9379  -0.0002     0.0    0.0876
10      11.0    2.005    -15.8049   0.1327     0.0    0.1189
20      21.0    4.005    -15.6716   0.2661     0.0    0.1438
30      31.0    6.005    -15.5386   0.3991     0.0    0.2159
40      41.0    8.005    -15.4047   0.5330     0.0    0.3100
50      51.0   10.005    -15.2723   0.6653     0.0    0.4204
60      61.0   12.005    -15.1378   0.7999     0.0    0.5504
70      71.0   14.005    -15.0047   0.9330     0.0    0.7043
80      81.0   16.005    -14.8714   1.0663     0.0    0.8698
90      91.0   18.005    -14.7374   1.2002     0.0    1.0406
100    101.0   20.005    -14.6047   1.3330     0.0    1.2243
110    111.0   22.005    -14.4712   1.4665     0.0    1.4117
120    121.0   24.005    -14.3380   1.5997     0.0    1.6006
130    131.0   26.005    -14.2049   1.7328     0.0    1.7858
140    141.0   28.005    -14.0719   1.8657     0.0    1.9765
150    151.0   30.005    -13.9375   2.0002     0.0    2.1608
160    161.0   32.005    -13.8054   2.1323     0.0    2.3420
170    171.0   34.005    -13.6718   2.2659     0.0    2.5169
180    181.0   36.005    -13.5378   2.3999     0.0    2.6890
190    191.0   38.005    -13.4040   2.5337     0.0    2.8697
200    201.0   40.005    -13.2717   2.6660     0.0    3.0297
210    211.0   42.005    -13.1382   2.7995     0.0    3.0790
220    221.0   44.005    -13.0045   2.9331     0.0    3.1945
230    231.0   46.005    -12.8712   3.0665     0.0    3.2327
240    241.0   48.005    -12.7379   3.1998     0.0    3.2601
250    251.0   50.005    -12.6049   3.3328     0.0    3.2889
260    261.0   52.005    -12.4716   3.4661     0.0    3.2998
270    271.0   54.005    -12.3386   3.5990     0.0    3.3010
280    281.0   56.005    -12.2046   3.7331     0.0    3.2998
290    291.0   58.005    -12.0705   3.8672     0.0    3.3171
300    301.0   60.005    -11.9381   3.9996     0.0    3.3224
310    311.0   62.005    -11.8046   4.1330     0.0    3.3628
320    321.0   64.005    -11.6710   4.2666     0.0    3.3835
330    331.0   66.005    -11.5385   4.3992     0.0    3.4569
340    341.0   68.005    -11.4044   4.5332     0.0    3.4915
350    351.0   70.005    -11.2719   4.6658     0.0    3.4976
360    361.0   72.005    -11.1383   4.7994     0.0    3.5118
370    371.0   74.005    -11.0049   4.9328     0.0    3.5762
380    381.0   76.005    -10.8717   5.0660     0.0    3.6240
390    391.0   78.005    -10.7386   5.1991     0.0    3.6651
400    401.0   80.005    -10.6050   5.3327     0.0    3.7613
410    411.0   82.005    -10.4713   5.4664     0.0    3.8256
420    421.0   84.005    -10.3384   5.5993     0.0    3.8764
430    431.0   86.005    -10.2058   5.7319     0.0    3.9366
440    441.0   88.005    -10.0719   5.8658     0.0    3.9590
456    451.0   89.215    -10.0191   5.9186     0.0    3.9003
466    461.0   89.615    -10.0184   5.9192     0.0    3.8835
476    471.0   90.015    -10.0186   5.9191     0.0    3.8700
486    481.0   90.415    -10.0186   5.9191     0.0    3.8537
496    491.0   90.815    -10.0190   5.9186     0.0    3.8386
506    501.0   91.215    -10.0187   5.9190     0.0    3.8285
516    511.0   91.615    -10.0190   5.9187     0.0    3.8156
526    521.0   92.015    -10.0187   5.9190     0.0    3.8040
536    531.0   92.415    -10.0182   5.9195     0.0    3.7920
546    541.0   92.815    -10.0193   5.9184     0.0    3.7884
556    551.0   93.215    -10.0184   5.9193     0.0    3.7827
566    561.0   93.615    -10.0186   5.9191     0.0    3.7787
576    571.0   94.015    -10.0183   5.9193     0.0    3.7665
586    581.0   94.415    -10.0191   5.9185     0.0    3.7543
596    591.0   94.815    -10.0183   5.9194     0.0    3.7426
606    601.0   95.215    -10.0178   5.9199     0.0    3.7351
616    611.0   95.615    -10.0186   5.9190     0.0    3.7325
626    621.0   96.015    -10.0189   5.9188     0.0    3.7250
643    631.0   96.460    -10.0033   5.9344     0.0    3.8044
653    641.0   96.860     -9.9767   5.9610     0.0    3.9278
663    651.0   97.260     -9.9498   5.9879     0.0    4.0140
673    661.0   97.660     -9.9235   6.0142     0.0    4.0691
683    671.0   98.060     -9.8966   6.0410     0.0    4.1301
693    681.0   98.460     -9.8705   6.0672     0.0    4.1873
703    691.0   98.860     -9.8436   6.0941     0.0    4.2473
713    701.0   99.260     -9.8167   6.1210     0.0    4.2996
723    711.0   99.660     -9.7899   6.1478     0.0    4.3560
733    721.0  100.060     -9.7638   6.1739     0.0    4.4083
