         Num  Time(s)  PosAbs(mm)  Pos(mm)  Pos(%)  Load(kN)
0        1.0    0.005    -13.1064  -0.0015     0.0    0.0911
10      11.0    2.005    -12.9726   0.1323     0.0    0.1147
20      21.0    4.005    -12.8396   0.2652     0.0    0.1303
30      31.0    6.005    -12.7063   0.3986     0.0    0.1526
40      41.0    8.005    -12.5723   0.5326     0.0    0.1867
50      51.0   10.005    -12.4389   0.6660     0.0    0.2237
60      61.0   12.005    -12.3053   0.7995     0.0    0.2666
70      71.0   14.005    -12.1723   0.9326     0.0    0.3197
80      81.0   16.005    -12.0389   1.0660     0.0    0.3846
90      91.0   18.005    -11.9060   1.1989     0.0    0.4545
100    101.0   20.005    -11.7725   1.3324     0.0    0.5348
110    111.0   22.005    -11.6388   1.4661     0.0    0.6276
120    121.0   24.005    -11.5062   1.5987     0.0    0.7301
130    131.0   26.005    -11.3726   1.7323     0.0    0.8397
140    141.0   28.005    -11.2387   1.8662     0.0    0.9629
150    151.0   30.005    -11.1053   1.9996     0.0    1.0985
160    161.0   32.005    -10.9728   2.1321     0.0    1.2436
170    171.0   34.005    -10.8383   2.2666     0.0    1.4112
180    181.0   36.005    -10.7056   2.3993     0.0    1.5889
190    191.0   38.005    -10.5719   2.5330     0.0    1.7836
200    201.0   40.005    -10.4383   2.6666     0.0    1.9942
210    211.0   42.005    -10.3059   2.7990     0.0    2.2201
220    221.0   44.005    -10.1726   2.9323     0.0    2.4628
230    231.0   46.005    -10.0393   3.0656     0.0    2.7230
240    241.0   48.005     -9.9058   3.1991     0.0    3.0000
250    251.0   50.005     -9.7723   3.3326     0.0    3.1891
260    261.0   52.005     -9.6392   3.4657     0.0    3.2500
270    271.0   54.005     -9.5059   3.5990     0.0    3.2962
280    281.0   56.005     -9.3724   3.7325     0.0    3.3054
290    291.0   58.005     -9.2388   3.8661     0.0    3.3196
300    301.0   60.005     -9.1055   3.9994     0.0    3.3374
310    311.0   62.005     -8.9726   4.1323     0.0    3.3477
320    321.0   64.005     -8.8388   4.2661     0.0    3.3548
330    331.0   66.005     -8.7057   4.3992     0.0    3.3640
340    341.0   68.005     -8.5724   4.5325     0.0    3.3784
350    351.0   70.005     -8.4390   4.6659     0.0    3.3847
360    361.0   72.005     -8.3059   4.7990     0.0    3.4283
370    371.0   74.005     -8.1724   4.9325     0.0    3.4950
380    381.0   76.005     -8.0391   5.0658     0.0    3.5488
390    391.0   78.005     -7.9062   5.1987     0.0    3.5901
400    401.0   80.005     -7.7728   5.3321     0.0    3.6660
410    411.0   82.005     -7.6390   5.4659     0.0    3.7010
420    421.0   84.005     -7.5056   5.5993     0.0    3.7763
430    431.0   86.005     -7.3721   5.7328     0.0    3.8515
440    441.0   88.005     -7.2389   5.8660     0.0    3.9300
456    451.0   89.555     -7.1546   5.9503     0.0    3.9006
466    461.0   89.955     -7.1545   5.9504     0.0    3.8967
476    471.0   90.355     -7.1547   5.9502     0.0    3.8862
486    481.0   90.755     -7.1549   5.9500     0.0    3.8809
496    491.0   91.155     -7.1553   5.9496     0.0    3.8753
506    501.0   91.555     -7.1552   5.9497     0.0    3.8704
516    511.0   91.955     -7.1550   5.9499     0.0    3.8652
526    521.0   92.355     -7.1547   5.9501     0.0    3.8609
536    531.0   92.755     -7.1549   5.9500     0.0    3.8521
