           Num  Time(s)  PosAbs(mm)  Pos(mm)  Pos(%)  Load(kN)
0          1.0    0.005    -10.6527   0.0007     0.0    0.0922
10        11.0    2.005    -10.5197   0.1337     0.0    0.1462
20        21.0    4.005    -10.3865   0.2669     0.0    0.2043
30        31.0    6.005    -10.2535   0.3999     0.0    0.2668
40        41.0    8.005    -10.1198   0.5336     0.0    0.3323
50        51.0   10.005     -9.9865   0.6669     0.0    0.4064
60        61.0   12.005     -9.8531   0.8003     0.0    0.4894
70        71.0   14.005     -9.7202   0.9332     0.0    0.5934
80        81.0   16.005     -9.5870   1.0664     0.0    0.7127
90        91.0   18.005     -9.4539   1.1995     0.0    0.8463
100      101.0   20.005     -9.3201   1.3333     0.0    1.0030
110      111.0   22.005     -9.1871   1.4662     0.0    1.1807
120      121.0   24.005     -9.0536   1.5997     0.0    1.3726
130      131.0   26.005     -8.9204   1.7330     0.0    1.5923
140      141.0   28.005     -8.7869   1.8664     0.0    1.8249
150      151.0   30.005     -8.6534   2.0000     0.0    2.0902
160      161.0   32.005     -8.5202   2.1331     0.0    2.3810
170      171.0   34.005     -8.3872   2.2662     0.0    2.6860
180      181.0   36.005     -8.2539   2.3995     0.0    3.0041
190      191.0   38.005     -8.1203   2.5331     0.0    3.1258
200      201.0   40.005     -7.9877   2.6657     0.0    3.1907
210      211.0   42.005     -7.8535   2.7999     0.0    3.2222
220      221.0   44.005     -7.7205   2.9329     0.0    3.2331
230      231.0   46.005     -7.5874   3.0660     0.0    3.2423
240      241.0   48.005     -7.4539   3.1995     0.0    3.2530
250      251.0   50.005     -7.3205   3.3328     0.0    3.2548
260      261.0   52.005     -7.1874   3.4659     0.0    3.2644
270      271.0   54.005     -7.0538   3.5996     0.0    3.2763
280      281.0   56.005     -6.9203   3.7331     0.0    3.2923
290      291.0   58.005     -6.7874   3.8659     0.0    3.3334
300      301.0   60.005     -6.6541   3.9993     0.0    3.3861
310      311.0   62.005     -6.5207   4.1327     0.0    3.4461
320      321.0   64.005     -6.3878   4.2656     0.0    3.4770
330      331.0   66.005     -6.2535   4.3999     0.0    3.5527
