           Num   Time(s)  PosAbs(mm)  Pos(mm)  Pos(%)  Load(kN)
0          1.0     0.005     -2.0849  -0.0012     0.0    0.0844
10        11.0     2.005     -2.0181   0.0656     0.0    0.1272
20        21.0     4.005     -1.9515   0.1321     0.0    0.1644
30        31.0     6.005     -1.8847   0.1990     0.0    0.2037
40        41.0     8.005     -1.8181   0.2656     0.0    0.2493
50        51.0    10.005     -1.7512   0.3325     0.0    0.2931
60        61.0    12.005     -1.6846   0.3991     0.0    0.3444
70        71.0    14.005     -1.6179   0.4658     0.0    0.3968
80        81.0    16.005     -1.5513   0.5324     0.0    0.4565
90        91.0    18.005     -1.4847   0.5990     0.0    0.5160
100      101.0    20.005     -1.4180   0.6657     0.0    0.5791
110      111.0    22.005     -1.3513   0.7323     0.0    0.6511
120      121.0    24.005     -1.2846   0.7990     0.0    0.7204
130      131.0    26.005     -1.2181   0.8656     0.0    0.8017
140      141.0    28.005     -1.1515   0.9321     0.0    0.8819
150      151.0    30.005     -1.0848   0.9988     0.0    0.9681
160      161.0    32.005     -1.0181   1.0656     0.0    1.0620
170      171.0    34.005     -0.9515   1.1321     0.0    1.1592
180      181.0    36.005     -0.8847   1.1990     0.0    1.2633
190      191.0    38.005     -0.8183   1.2654     0.0    1.3732
200      201.0    40.005     -0.7514   1.3322     0.0    1.4937
210      211.0    42.005     -0.6850   1.3987     0.0    1.6164
220      221.0    44.005     -0.6182   1.4655     0.0    1.7497
230      231.0    46.005     -0.5515   1.5322     0.0    1.8916
240      241.0    48.005     -0.4850   1.5986     0.0    2.0405
250      251.0    50.005     -0.4184   1.6653     0.0    2.1970
260      261.0    52.005     -0.3519   1.7318     0.0    2.3622
270      271.0    54.005     -0.2852   1.7985     0.0    2.5418
280      281.0    56.005     -0.2185   1.8652     0.0    2.6633
290      291.0    58.005     -0.1519   1.9318     0.0    2.6693
300      301.0    60.005     -0.0853   1.9983     0.0    2.6756
310      311.0    62.005     -0.0185   2.0651     0.0    2.6974
320      321.0    64.005      0.0482   2.1319     0.0    2.7406
330      331.0    66.005      0.1147   2.1984     0.0    2.7550
340      341.0    68.005      0.1816   2.2652     0.0    2.7718
350      351.0    70.005      0.2482   2.3319     0.0    2.7920
360      361.0    72.005      0.3148   2.3984     0.0    2.8050
370      371.0    74.005      0.3813   2.4650     0.0    2.8209
380      381.0    76.005      0.4481   2.5318     0.0    2.8450
390      391.0    78.005      0.5149   2.5985     0.0    2.8710
400      401.0    80.005      0.5814   2.6651     0.0    2.8876
410      411.0    82.005      0.6480   2.7316     0.0    2.9523
420      421.0    84.005      0.7148   2.7984     0.0    3.0664
430      431.0    86.005      0.7814   2.8651     0.0    3.1041
440      441.0    88.005      0.8481   2.9318     0.0    3.1828
450      451.0    90.005      0.9148   2.9984     0.0    3.2795
460      461.0    92.005      0.9814   3.0650     0.0    3.2839
470      471.0    94.005      1.0478   3.1315     0.0    3.2874
480      481.0    96.005      1.1148   3.1985     0.0    3.2958
490      491.0    98.005      1.1813   3.2649     0.0    3.3062
500      501.0   100.005      1.2480   3.3316     0.0    3.2983
510      511.0   102.005      1.3144   3.3980     0.0    3.2983
